,puma,above_lw,below_lw,above_pov,below_pov,pct_below_lw,pct_below_pov,code,name_x,flag,Unnamed: 3,Unnamed: 4,Unnamed: 5,state_fips,puma_short,name_y
5406,422702,23241.0,24930.0,36822.0,11349.0,0.517531294762,0.235598181478,42 02702,Berks County (Southwest)--Reading City ,1,,,,42,2702,pa
1847,13700,20877.0,22456.0,31971.0,11362.0,0.518219370918,0.262202016939,13 00700,Southern Georgia Regional Commission (West) ,1,,,,13,700,ga
1846,13700,20877.0,22456.0,31971.0,11362.0,0.518219370918,0.262202016939,13 00700,Southern Georgia Regional Commission (West) ,1,,,,13,700,ga
1845,13700,20877.0,22456.0,31971.0,11362.0,0.518219370918,0.262202016939,13 00700,Southern Georgia Regional Commission (West) ,1,,,,13,700,ga
3454,271405,21276.0,22933.0,32388.0,11821.0,0.518740527947,0.267388993191,27 01405,Hennepin County--Minneapolis (North) & St. Anthony Cities ,1,,,,27,1405,mn
3455,271405,21276.0,22933.0,32388.0,11821.0,0.518740527947,0.267388993191,27 01405,Hennepin County--Minneapolis (North) & St. Anthony Cities ,1,,,,27,1405,mn
3453,271405,21276.0,22933.0,32388.0,11821.0,0.518740527947,0.267388993191,27 01405,Hennepin County--Minneapolis (North) & St. Anthony Cities ,1,,,,27,1405,mn
861,67107,13859.0,14980.0,21731.0,7108.0,0.519435486667,0.246471791671,06 07107,San Bernardino County (Southwest)--San Bernardino City (East) ,1,,,,6,7107,ca
862,67107,13859.0,14980.0,21731.0,7108.0,0.519435486667,0.246471791671,06 07107,San Bernardino County (Southwest)--San Bernardino City (East) ,1,,,,6,7107,ca
863,67107,13859.0,14980.0,21731.0,7108.0,0.519435486667,0.246471791671,06 07107,San Bernardino County (Southwest)--San Bernardino City (East) ,1,,,,6,7107,ca
2790,221000,19689.0,21382.0,30264.0,10807.0,0.52061064985,0.263129702223,22 01000,Acadiana Regional Development District 1--St. Landry & Evangeline Parishes ,1,,,,22,1000,la
2791,221000,19689.0,21382.0,30264.0,10807.0,0.52061064985,0.263129702223,22 01000,Acadiana Regional Development District 1--St. Landry & Evangeline Parishes ,1,,,,22,1000,la
2792,221000,19689.0,21382.0,30264.0,10807.0,0.52061064985,0.263129702223,22 01000,Acadiana Regional Development District 1--St. Landry & Evangeline Parishes ,1,,,,22,1000,la
607,63749,17323.0,18874.0,29058.0,7139.0,0.521424427439,0.197226289472,06 03749,Los Angeles County (Central)--Inglewood City ,1,,,,6,3749,ca
608,63749,17323.0,18874.0,29058.0,7139.0,0.521424427439,0.197226289472,06 03749,Los Angeles County (Central)--Inglewood City ,1,,,,6,3749,ca
606,63749,17323.0,18874.0,29058.0,7139.0,0.521424427439,0.197226289472,06 03749,Los Angeles County (Central)--Inglewood City ,1,,,,6,3749,ca
4023,341800,17764.0,19374.0,30314.0,6824.0,0.521675911465,0.183747105391,34 01800,Union County (Northeast)--Elizabeth City ,1,,,,34,1800,nj
4024,341800,17764.0,19374.0,30314.0,6824.0,0.521675911465,0.183747105391,34 01800,Union County (Northeast)--Elizabeth City ,1,,,,34,1800,nj
4025,341800,17764.0,19374.0,30314.0,6824.0,0.521675911465,0.183747105391,34 01800,Union County (Northeast)--Elizabeth City ,1,,,,34,1800,nj
732,65912,22586.0,24650.0,38531.0,8705.0,0.521847743247,0.184287407909,06 05912,"Orange County (Northwest)--Westminster, Stanton & Garden Grove (West) Cities ",1,,,,6,5912,ca
733,65912,22586.0,24650.0,38531.0,8705.0,0.521847743247,0.184287407909,06 05912,"Orange County (Northwest)--Westminster, Stanton & Garden Grove (West) Cities ",1,,,,6,5912,ca
